epoch,train_loss,train_dice,train_iou,train_time_s,val_loss,val_dice,val_iou,val_time_s,learning_rate
1,0.07048727591571055,0.019831415817239566,0.010065893323993996,6.11,0.05835340693593025,0.02032371824607253,0.010361212538555264,0.32,1e-05
2,0.03550216844795566,0.01815287755361121,0.009207472811747146,5.21,0.022402411326766014,0.010175730427727103,0.005136387725360692,0.31,2.8e-05
3,0.010262250753217622,0.020032604549717354,0.010182227418561908,5.23,0.00809412794187665,0.0298910666257143,0.015489181876182556,0.31,4.6e-05
4,0.007356976943188592,0.025815795408561826,0.013193221934335796,5.23,0.005756761971861124,0.03385848645120859,0.017665434768423437,0.31,6.4e-05
5,0.006724044300713821,0.028946729989624338,0.014812025229299539,7.43,0.005272483825683594,0.040113007090985774,0.021088248956948517,0.35,8.2e-05
6,0.005295316786750367,0.032639602039891635,0.01671620203476203,5.38,0.005450553167611361,0.042846175096929076,0.022527430299669506,0.32,0.0001
7,0.00428119064063618,0.03839679944672083,0.01978417273953949,5.28,0.0037552806083112956,0.04557320978492498,0.02418033070862293,0.32,9.98794204878613e-05
8,0.003699787059112599,0.040500264590311995,0.020905079816370027,5.24,0.003330775536596775,0.051951189525425434,0.027633829135447742,0.31,9.951826940270773e-05
9,0.0032692188397049904,0.045172165393045076,0.02344996759079789,5.36,0.003160369023680687,0.049952979944646356,0.026558916363865138,0.35,9.891830623632339e-05
10,0.0029053169020794726,0.04570916375929588,0.02375445048030662,8.32,0.0028228933457285165,0.054106428474187854,0.02892314624041319,0.34,9.808245394894679e-05
11,0.0023920502832257434,0.054137836504531536,0.028150560113748436,5.68,0.002447526482865214,0.05768798813223839,0.03105177953839302,0.34,9.701478472890248e-05
12,0.0021165139225654698,0.0573718298079544,0.02996563741103991,5.85,0.0021020657382905482,0.06183207295835018,0.03332604300230742,0.37,9.572050015330875e-05
13,0.0019353477890897345,0.059434195906904186,0.031181494827921454,5.7,0.0020143640693277122,0.0638817586004734,0.03459665756672621,0.34,9.42059058465169e-05
14,0.001976622734218836,0.06098015675027119,0.03206618318922425,5.69,0.0018763210624456405,0.06512361951172352,0.03511844407767058,0.34,9.247838075974309e-05
15,0.0016964009264484048,0.06671246394858156,0.03504475646064078,5.61,0.0018540099961683154,0.07041651643812656,0.03837726693600416,0.33,9.054634122155992e-05
16,0.0014971305898047592,0.07111532172482264,0.037448111504904534,5.28,0.0018684057286009192,0.07288128174841405,0.04001180306077003,0.31,8.841919993438942e-05
