epoch,train_loss,train_dice,train_iou,train_time_s,val_loss,val_dice,val_iou,val_time_s,learning_rate
1,0.043033703837705696,0.020573126860772787,0.0105360080892949,6.46,0.03552539944648743,0.018919689673930408,0.009644450712949037,0.89,1e-05
2,0.033114860077267105,0.01861834841395688,0.009445104593633796,3.9,0.025471370294690134,0.022108306549489497,0.011329236812889576,0.42,2.8e-05
3,0.023111596703529358,0.020363465437422627,0.01033003435915579,3.88,0.017070485278964043,0.02163340086117387,0.011072784010320903,0.41,4.6e-05
4,0.014992932262627975,0.020387026137145964,0.01034745646883612,4.02,0.011355960741639137,0.023450961615890265,0.012018199637532234,0.42,6.4e-05
5,0.01004124596795958,0.022505676434577807,0.011435041993694462,3.89,0.00704089617356658,0.022837450541555882,0.011702488409355283,0.42,8.2e-05
6,0.007120398278145686,0.026844665711826605,0.013790663109039482,3.93,0.0051283703185617925,0.030619586072862148,0.015832363348454236,0.4,0.0001
7,0.005249481830421997,0.03669422008502095,0.019462009324975636,3.99,0.00417005242779851,0.041255575604736805,0.021611873526126146,0.42,9.98794204878613e-05
8,0.004447661400975093,0.035014737154478615,0.018075737717520933,3.85,0.004043594654649496,0.04365306533873081,0.02287592748180032,0.4,9.951826940270773e-05
9,0.0038778748788425455,0.036140237651441406,0.018729767620401537,3.9,0.003242808720096946,0.03288981653749943,0.017000138107687236,0.42,9.891830623632339e-05
10,0.0034648829605430365,0.03591981793389372,0.018489219693709976,3.86,0.0024451262317597864,0.04962516874074936,0.026216522231698035,0.43,9.808245394894679e-05
11,0.0030476747829790997,0.042729773801629956,0.021975870568143284,4.03,0.0020587365608662365,0.056264904141426084,0.030217337235808373,0.42,9.701478472890248e-05
12,0.002656137995907794,0.04423114143150008,0.02308593579041569,3.9,0.0019819239852949975,0.05683906152844429,0.030342688970267772,0.42,9.572050015330875e-05
13,0.002386627470791016,0.05102283570348569,0.026725293592671336,3.89,0.0019325630739331246,0.06612323708832264,0.03547346107661724,0.4,9.42059058465169e-05
14,0.002443054620095569,0.048494333401322365,0.02520975098013878,3.92,0.00164123116992414,0.06552092619240284,0.03541374932974577,0.41,9.247838075974309e-05
15,0.0021419608509977875,0.05310638657892528,0.027627431342135304,3.81,0.0017251532757654787,0.06164238266646862,0.03320879079401493,0.4,9.054634122155992e-05
16,0.0022494272713589926,0.05179481985776321,0.027105899871853384,3.9,0.0016182514606043696,0.06917567402124405,0.03780895136296749,0.42,8.841919993438942e-05
17,0.002163485421434693,0.05557246303752712,0.029074613490830296,3.91,0.001554544735699892,0.06576062552630901,0.03542426023632288,0.42,8.610732011676325e-05
18,0.0018741751150430544,0.056102999749229006,0.0293925946234199,4.01,0.0013652700930833817,0.07693121246993542,0.042127345129847525,0.41,8.36219650147635e-05
19,0.001863768840532588,0.0614907283173955,0.0323172634386498,3.89,0.001381400041282177,0.07638087086379527,0.04189186226576567,0.42,8.09752430286201e-05
20,0.0017904064962235482,0.060829273748980915,0.03198770067209135,3.87,0.001353363855741918,0.07960559763014316,0.043779339641332626,0.39,7.818004872180198e-05
21,0.0018524989414879162,0.06265158019959927,0.032812585284852466,3.91,0.0014802167657762765,0.07968456000089645,0.043648410402238366,0.41,7.525000000000001e-05
22,0.0018367061148519101,0.05967564945635588,0.031107524369397888,3.83,0.0013099086121656001,0.07834171801805496,0.043007392808794974,0.41,7.219937176605935e-05
23,0.0015785936974798856,0.0713047867073961,0.03778207123927448,3.91,0.001239441882353276,0.08646358586847783,0.048053551092743875,0.41,6.904302637408766e-05
24,0.001617413234350312,0.06597883719950914,0.03479694969871122,3.92,0.0013085363432765007,0.08930210322141648,0.04957710113376379,0.43,6.579634122155991e-05
25,0.0017492328770458698,0.06497401233924471,0.03389346231099056,3.99,0.0013998069800436497,0.08990490660071374,0.049840818718075754,0.41,6.247513383218356e-05
26,0.0015332082276354017,0.065488553788189,0.034483136194150735,3.93,0.0011957427486777306,0.09201342947781085,0.051516448333859446,0.41,5.909558479451306e-05
27,0.001407154749714486,0.07567111613309901,0.04006984765114992,3.84,0.001161249214783311,0.0911427740007639,0.05085906870663166,0.41,5.5674158931748854e-05
28,0.001386085757985711,0.07473735179266204,0.03979409396972345,3.92,0.0011869664303958416,0.09250343553721904,0.05195493698120117,0.41,5.222752508677381e-05
29,0.0013564398193367474,0.0769333449880714,0.041446156394870384,3.8,0.001148637756705284,0.09572061002254487,0.05356365740299225,0.41,4.8772474913226224e-05
30,0.0013337725085084853,0.07917281790919926,0.042281413147144994,3.87,0.0011580411228351295,0.09764403849840164,0.05520929601043463,0.41,4.532584106825117e-05
31,0.0012994626253519368,0.07813724122293618,0.0415647207232921,3.93,0.0011212828219868242,0.09412457458674908,0.052852959372103214,0.42,4.190441520548696e-05
32,0.0011981740573664074,0.08303820434957743,0.04502743423875907,4.0,0.0010597422020509838,0.10150481835007667,0.057340707257390024,0.42,3.852486616781645e-05
33,0.0011664561790657108,0.0947977141679629,0.05093011081866596,3.94,0.0010343780042603612,0.10219645947217941,0.057855036854743955,0.42,3.520365877844012e-05
34,0.0011907525426384223,0.08561798711509808,0.04612876325035873,3.91,0.0010272062267176808,0.10270084142684936,0.05796039961278439,0.41,3.1956973625912366e-05
35,0.0012214077464507325,0.0839106023473584,0.04527902773217014,3.98,0.0010569809819571674,0.10288707539439201,0.05810647532343864,0.41,2.8800628233940678e-05
36,0.0012073217354633887,0.08953196037074794,0.048135199908005154,3.9,0.0010132689843885601,0.10492825731635094,0.059486772119998935,0.41,2.5750000000000023e-05
37,0.0011376850585372229,0.09165788976394612,0.0491733461132516,3.94,0.0010810683597810566,0.1026686780154705,0.058402611687779424,0.42,2.281995127819805e-05
38,0.0011487149901728592,0.09218315537209096,0.049810196354013424,3.96,0.0009903237107209862,0.10716685876250268,0.06084310002624989,0.42,2.0024756971379923e-05
39,0.0011186639464500806,0.08610728492393442,0.04601397399750093,3.97,0.0010136187309399247,0.10524643659591675,0.059768262505531314,0.41,1.7378034985236525e-05
40,0.0011721317701892037,0.08831263746580352,0.04763125105882469,3.93,0.0010281207389198244,0.10544635578989983,0.06004225611686707,0.41,1.4892679883236773e-05
41,0.0010788314925182772,0.09178611700949461,0.04923486110308896,3.9,0.0009840143960900606,0.10771850347518921,0.06131943166255951,0.41,1.2580800065610601e-05
42,0.00109205565303969,0.09426699999881827,0.05103304844511592,3.88,0.0009832482901401818,0.1081040382385254,0.06152659393846989,0.41,1.0453658778440112e-05
43,0.001080952260805213,0.09120978058680244,0.04967030627733987,3.88,0.0009816266945563256,0.10815993025898933,0.06147688925266266,0.41,8.52161924025692e-06
44,0.0010549489525146782,0.09137865973879462,0.049466272046708545,3.86,0.00098139769397676,0.1073432058095932,0.060990572720766065,0.41,6.794094153483128e-06
45,0.0011135262624441605,0.09636161792213502,0.05198956013697645,3.97,0.0009909084415994584,0.10789864584803581,0.06135539300739765,0.42,5.279499846691265e-06
46,0.0011033573866133456,0.09042807437641465,0.048743248836177845,3.97,0.0009984754142351449,0.10740855038166046,0.06112168058753013,0.41,3.98521527109754e-06
47,0.0010867451985731072,0.09558210181801216,0.0512606222992358,3.9,0.000988386187236756,0.10848319754004479,0.06179830655455589,0.41,2.9175460510532266e-06
48,0.001019837162659868,0.09146444969203162,0.0494629780397467,3.88,0.000990739616099745,0.10686887875199318,0.06080336198210716,0.41,2.081693763676619e-06
49,0.0010542624564234006,0.09346702565317569,0.05048941087949535,3.87,0.0009843902080319822,0.10877955630421639,0.061955825984478,0.41,1.4817305972922728e-06
50,0.0009988526530239892,0.09454587110034797,0.05113469938869062,3.9,0.0009867108194157482,0.10785566940903664,0.06142841465771198,0.41,1.1205795121387022e-06
