epoch,train_loss,train_dice,train_iou,train_time_s,val_loss,val_dice,val_iou,val_time_s,learning_rate
1,0.9812599993065784,0.019092940290360468,0.009742576186813255,19.83,0.9798446595668793,0.02074909768998623,0.010720155900344253,2.11,1.0000000000000002e-06
2,0.9805159984450591,0.01927668603112627,0.00983760024093116,26.82,0.9772605299949646,0.02074909768998623,0.010720155900344253,1.66,2.8000000000000003e-06
3,0.971647530009872,0.03293885972418234,0.01721295829300193,28.51,0.9680422723293305,0.07913733199238777,0.04359210608527064,1.67,4.6e-06
4,0.9644939381825296,0.12869679924762367,0.07211481368683867,29.76,0.9356495916843415,0.18293043375015258,0.10730599351227284,1.82,6.4e-06
5,0.7160957306623459,0.31060653806133287,0.19850391315010615,29.96,0.6125586628913879,0.3926264299880131,0.26281025101052363,2.55,8.2e-06
6,0.615143104603416,0.3861990487195343,0.26258629729502564,28.32,0.6835567355155945,0.3139105085749179,0.20639943671412767,1.95,1e-05
7,0.5662435261826766,0.4359894892879406,0.30501757861087464,33.48,0.7309311747550964,0.2697627913876204,0.1756293234153418,1.83,9.997293623837585e-06
8,0.5283632537252024,0.47221121671272587,0.3312866997454732,35.53,0.6512518286705017,0.34771690269117245,0.231328676949488,1.66,9.989177454732934e-06
9,0.5355700772059592,0.4654499926553782,0.32872908777100845,26.81,0.6158256351947784,0.3835668694722699,0.2641433991055237,1.65,9.975660367597807e-06
10,0.5096508774318194,0.4916793313324505,0.35044266667864576,26.0,0.6361042976379394,0.36407736394321544,0.2507734470476862,1.9,9.956757143168528e-06
11,0.4698428425349687,0.5308160848783844,0.38503903493830494,25.57,0.6321400582790375,0.368450621975353,0.2520897159294691,2.45,9.932488451843475e-06
12,0.4673370389561904,0.5442902714766158,0.4064566601966937,33.9,0.5947395145893097,0.4069618301698938,0.28152471652720124,1.89,9.902880831080306e-06
13,0.4546742878462139,0.5469715818027524,0.40882192471211676,37.38,0.5701943755149841,0.4297963255259674,0.2966477216396015,1.67,9.86796665637763e-06
14,0.4046134744819842,0.5975801257606547,0.458251696285228,36.69,0.542481929063797,0.4564969444065355,0.32575637665868273,1.9,9.827784105872876e-06
15,0.37008899764010783,0.6315768730679625,0.4896078601871666,36.87,0.5377761542797088,0.4591735694382805,0.3352962042961735,2.57,9.78237711859507e-06
16,0.35357627978450373,0.6485987247559886,0.5060934715319921,36.82,0.5274690151214599,0.4717726421455154,0.3419150535861263,2.61,9.73179534641814e-06
17,0.327374520270448,0.6745411257418853,0.5377560583935854,27.37,0.5367011785507202,0.4642586237838259,0.34021824068331624,2.73,9.67609409976733e-06
18,0.3215462173286237,0.6804262679460839,0.547134706256513,33.71,0.5989103257656098,0.40225163324503227,0.27975881471065805,1.85,9.615334287138054e-06
19,0.32797886117508535,0.6735672942587897,0.5413448771539965,33.95,0.5377626299858094,0.4624274698435329,0.3351315160631202,2.34,9.549582348493354e-06
20,0.3264479770472175,0.6754870978199362,0.5417999866139757,26.1,0.5536132693290711,0.4466487566882279,0.3196988719457295,2.35,9.478910182612779e-06
21,0.2803190013295726,0.7212791578157952,0.5915409462085288,24.77,0.511241364479065,0.4890167923469562,0.35663199590635486,2.96,9.403395068472121e-06
22,0.2854004502296448,0.7161172044150973,0.5908900765383518,27.98,0.5632232904434205,0.43712108088075186,0.3067074942344334,1.59,9.323119580739991e-06
23,0.29605994883336517,0.7054032271783064,0.5813508153997214,23.95,0.5066991686820984,0.49388953707530164,0.3606997001857962,2.32,9.23817149948363e-06
24,0.29471807495543834,0.7066879785668693,0.5825942820183149,28.69,0.5151727437973023,0.48552855905436443,0.35395894926332405,1.56,9.148643714182699e-06
25,0.2751336732977315,0.7262451783585435,0.6076048592819318,25.01,0.49089675545692446,0.5095638816332212,0.37827855694049506,1.89,9.05463412215599e-06
26,0.2610744143787183,0.74032036610879,0.6123460504152861,28.03,0.5236706674098969,0.4764681232511066,0.34804124882211906,1.53,8.956245521512148e-06
27,0.26682128404316147,0.7345913897795406,0.6082823676682126,24.93,0.49887118935585023,0.5024553137482144,0.3702915700734593,2.12,8.853585498741453e-06
28,0.26564286884508637,0.7354847083785755,0.617884419744338,25.53,0.5264982461929322,0.4736368052981561,0.34513908963126594,1.94,8.746766311071562e-06
29,0.26298911398962926,0.7383084899369063,0.6191156261713906,24.27,0.504602313041687,0.49579432520258704,0.36435615333903115,2.76,8.63590476371589e-06
30,0.25899532594178853,0.742506875295045,0.6261287092194451,33.17,0.5004085063934326,0.5006375869153998,0.3718272586702369,1.82,8.521122082148817e-06
31,0.25370652816797556,0.7475969640600899,0.6320451917777782,34.35,0.5213987350463867,0.47872352579433936,0.35252935102034827,2.21,8.402543779547417e-06
32,0.24287066647880956,0.758470939741911,0.6424290056242362,25.97,0.4958506941795349,0.5043823018699186,0.37583833709650205,2.22,8.280299519544633e-06
33,0.2529104814717644,0.7484553719282543,0.6362129467735557,32.6,0.4885843098163605,0.5115243691892829,0.382186980167171,1.55,8.154522974444005e-06
34,0.23981121574577532,0.7610549824802499,0.641434100113417,27.98,0.5115238666534424,0.4894064723950578,0.36359846028208265,1.7,8.025351679050971e-06
35,0.24037040377918042,0.7616613144346047,0.6541939097208486,24.5,0.4950160801410675,0.5057602240762208,0.3762952580174897,1.55,7.892926880280567e-06
36,0.23053225796473653,0.7706437106397445,0.6578546767766391,33.94,0.4903093695640564,0.5098714750347426,0.3826148223219207,1.87,7.757393382706012e-06
37,0.22731252171491323,0.7739975572637233,0.660639962634856,33.12,0.49839935898780824,0.5019710635737283,0.37449722941673824,1.58,7.618899390217012e-06
38,0.2412809376653872,0.7600947561532896,0.6468952156903566,34.25,0.47937971353530884,0.5206781924847746,0.3916970559541369,1.87,7.4775963439610116e-06
39,0.2358409283976806,0.7654228332256409,0.6597859920462055,19.43,0.4981538951396942,0.502260616249987,0.3723933754634345,1.77,7.333638756744502e-06
40,0.2419884408775129,0.7592259901422566,0.6487907761015537,34.41,0.5123023688793182,0.48893539145356046,0.3595133765018545,1.87,7.187184044075536e-06
41,0.24975723812454625,0.7512398422818238,0.6499892109392309,26.52,0.4933422923088074,0.5071818608761532,0.3793854478717549,1.75,7.038392352032196e-06
42,0.2620838872696224,0.7401476235030905,0.6350854647799248,26.05,0.4766271412372589,0.5239390775415813,0.3926506385061657,1.79,6.88742638214519e-06
43,0.22662350378538432,0.7744865122367628,0.6728860268240647,28.89,0.47886070013046267,0.5216257799300366,0.39158447718946265,1.98,6.73445121348613e-06
44,0.2098082876519153,0.791352203924601,0.6810610632804271,33.27,0.47842204570770264,0.5217121774447151,0.3940271305036731,2.97,6.5796341221559874e-06
45,0.19488863333275444,0.8064435077708607,0.702228366287033,25.11,0.48288593888282777,0.5171300857502501,0.38934555716696195,2.88,6.423144398371129e-06
46,0.18340523148837842,0.8176167355360169,0.7158043173288828,24.83,0.4942220628261566,0.5057648431800772,0.3795785140537191,2.93,6.2651531613469536e-06
